Departamento,Base de Coca,Basuco,Cocaína,Heroína,Marihuana
AMAZONAS,35379,14138,9,115397,89,,1515639,22,1680555,01
ANTIOQUIA,4063364,2,333357,28551543,94,18108,18022802,95,50989176,09
ARAUCA,486,2720,1354,99,231525,236184
ATLÁNTICO,215956,6,55863,11628401,1,3547,2010185,8,13913953,5
BOLÍVAR,1731173,18,12881,6,8880531,05,,2429024,72,13053610,55
BOYACÁ,64021,10184,2,6382,5,,439910,1,520497,8
CALDAS,144358,1,73847,3,152437,5,3,4161860,2,4532506,1
CAQUETÁ,1601235,30100,55610,,3971887,5658832
CASANARE,11003,8,3038,3,51086,1,,61223,4,126351,6
CAUCA,1056510,6,78851,8,687083,6,8820,22695478,8,24526744,8
CESAR,96207,3,14672,85,540358,45,136,421469,2,1072843,8
CHOCÓ,1724697,8,10110,8392542,5,,980016,11107366,3
CÓRDOBA,273903,7,13065,1519670,5,,273471,4,2080110,6
CUNDINAMARCA,296579,5,593580,7,1903442,7,13110,8,8422453,9,11229167,6
GUAINÍA,3578,189,34,,9332,5,13133,5
GUAJIRA,32193,5,22775,6,22754232,9,,3187900,2,25997102,2
GUAVIARE,1544202,9,780,9,925894,2,,15174,9,2486052,9
HUILA,729070,51,26114,06,15449,2,,7269528,25,8040162,02
MAGDALENA,102313,5,12738,8,6664521,7,,14249874,21029448
META,823444,1,27537,626510,6,8,7704868,7,9182368,4
NARIÑO,3063066,110659,6,133389303,2,178904,5728666,5,142470599,3
NORTE DE SANTANDER,5711246,31,50776,5,19292027,75,2231,59,2842030,14,27898312,29
PUTUMAYO,6825752,8575,3366569,,4103483,14304379
QUINDÍO,17766,68,12998,1,253350,94,968,05,4161813,8,4446897,57
RISARALDA,76770,51361,02,626851,9,45122,5,4586296,5386401,42
SAN ANDRÉS,10,2,633956,,1268897,1902865
SANTANDER,59603,9,78287,55,241338,4,603,1803239,76,2183072,61
SUCRE,26002,3742,1406523,,171388,1607655
TOLIMA,180657,55,35740,53,69436,2,520,4279402,24,4565756,52
VALLE,163472,2,226530,6,14786191,68,24678,36094400,2,51295272,68
VAUPÉS,98,244,70,,2645,3057
VICHADA,380791,756,637,,3946,386130
